Name	Desc
Successful	成功
Failure	失败
ParseMessageError	解析protobuf失败
CallServiceNotFound	调用服务未发现
NotFoundRpcConfig	没有rpc配置
RpcTypeError	rpc类型错误
InitMessageFail	初始化消息失败
CallFunctionNotExist	调用方法不存在
CallArgsError	调用参数错误
TimeoutAutoCall	超时自动调用
LuaCoroutineWait	等待lua协程返回
CallLuaFunctionFail	调用lua方法错误
NotResponseMessage	不返回数据
JsonCastProtocbufFail	json转protobuf失败
ProtocbufCastJsonFail	protobuf转json失败
CreatePorotbufFail	创建protobuf失败
SerializationFailure	序列化失败
CommandArgsError	GM命令参数错误
SessionIsNull	Session是空
SendMessageFail	发送消息错误
NetWorkError	网络错误
NoCoroutineContext	没有协程上下文
ParseJsonFailure	解析json失败
CacheMessageNextSend	缓存消息下次发送
MysqlNotInCoroutine	Mysql没有协程上下文
MysqlStartTaskFail	Mysql任务启动失败
MysqlInitTaskFail	Mysql初始化失败
MysqlSocketIsNull	Mysql连接是空
MysqlSelectDbFailure	Mysql选择数据库失败
MysqlInvokeFailure	Mysql执行sql语句失败
RedisNotInCoroutine	Redis没有协程上下文
RedisStartTaskFail	Redis任务启动失败
RedisSocketIsNull	Redis连接是空
RedisReplyIsNull	Redis回复是空
RedisInvokeFailure	Rsedis命令执行失败
AccountAlreadyExists	账号已经存在
AccountNotExists	账号不存在
